SalePrice,DatasetSource,PriceUnit,PriceSegment
215000.0,ames_housing,USD,luxury
105000.0,ames_housing,USD,budget
172000.0,ames_housing,USD,premium
244000.0,ames_housing,USD,luxury
189900.0,ames_housing,USD,premium
195500.0,ames_housing,USD,premium
213500.0,ames_housing,USD,premium
191500.0,ames_housing,USD,premium
236500.0,ames_housing,USD,luxury
189000.0,ames_housing,USD,premium
175900.0,ames_housing,USD,premium
185000.0,ames_housing,USD,premium
180400.0,ames_housing,USD,premium
171500.0,ames_housing,USD,premium
212000.0,ames_housing,USD,premium
538000.0,ames_housing,USD,luxury
164000.0,ames_housing,USD,premium
394432.0,ames_housing,USD,luxury
141000.0,ames_housing,USD,standard
210000.0,ames_housing,USD,premium
190000.0,ames_housing,USD,premium
170000.0,ames_housing,USD,premium
216000.0,ames_housing,USD,luxury
149000.0,ames_housing,USD,standard
149900.0,ames_housing,USD,standard
142000.0,ames_housing,USD,standard
126000.0,ames_housing,USD,budget
115000.0,ames_housing,USD,budget
184000.0,ames_housing,USD,premium
96000.0,ames_housing,USD,budget
105500.0,ames_housing,USD,budget
88000.0,ames_housing,USD,budget
127500.0,ames_housing,USD,budget
149900.0,ames_housing,USD,standard
120000.0,ames_housing,USD,budget
146000.0,ames_housing,USD,standard
376162.0,ames_housing,USD,luxury
306000.0,ames_housing,USD,luxury
395192.0,ames_housing,USD,luxury
290941.0,ames_housing,USD,luxury
220000.0,ames_housing,USD,luxury
275000.0,ames_housing,USD,luxury
259000.0,ames_housing,USD,luxury
214000.0,ames_housing,USD,luxury
611657.0,ames_housing,USD,luxury
224000.0,ames_housing,USD,luxury
500000.0,ames_housing,USD,luxury
320000.0,ames_housing,USD,luxury
319900.0,ames_housing,USD,luxury
205000.0,ames_housing,USD,premium
175500.0,ames_housing,USD,premium
199500.0,ames_housing,USD,premium
160000.0,ames_housing,USD,standard
192000.0,ames_housing,USD,premium
184500.0,ames_housing,USD,premium
216500.0,ames_housing,USD,luxury
185088.0,ames_housing,USD,premium
180000.0,ames_housing,USD,premium
222500.0,ames_housing,USD,luxury
333168.0,ames_housing,USD,luxury
355000.0,ames_housing,USD,luxury
260400.0,ames_housing,USD,luxury
325000.0,ames_housing,USD,luxury
290000.0,ames_housing,USD,luxury
221000.0,ames_housing,USD,luxury
410000.0,ames_housing,USD,luxury
221500.0,ames_housing,USD,luxury
204500.0,ames_housing,USD,premium
215200.0,ames_housing,USD,luxury
262500.0,ames_housing,USD,luxury
254900.0,ames_housing,USD,luxury
271500.0,ames_housing,USD,luxury
233000.0,ames_housing,USD,luxury
181000.0,ames_housing,USD,premium
205000.0,ames_housing,USD,premium
143000.0,ames_housing,USD,standard
189000.0,ames_housing,USD,premium
99500.0,ames_housing,USD,budget
125000.0,ames_housing,USD,budget
194500.0,ames_housing,USD,premium
152000.0,ames_housing,USD,standard
171000.0,ames_housing,USD,premium
67500.0,ames_housing,USD,budget
112000.0,ames_housing,USD,budget
148000.0,ames_housing,USD,standard
138500.0,ames_housing,USD,standard
122000.0,ames_housing,USD,budget
133000.0,ames_housing,USD,standard
127000.0,ames_housing,USD,budget
169000.0,ames_housing,USD,premium
190000.0,ames_housing,USD,premium
362500.0,ames_housing,USD,luxury
285000.0,ames_housing,USD,luxury
260000.0,ames_housing,USD,luxury
190000.0,ames_housing,USD,premium
155000.0,ames_housing,USD,standard
151000.0,ames_housing,USD,standard
149500.0,ames_housing,USD,standard
152000.0,ames_housing,USD,standard
222000.0,ames_housing,USD,luxury
177500.0,ames_housing,USD,premium
177000.0,ames_housing,USD,premium
155000.0,ames_housing,USD,standard
147110.0,ames_housing,USD,standard
267916.0,ames_housing,USD,luxury
254000.0,ames_housing,USD,luxury
155000.0,ames_housing,USD,standard
206000.0,ames_housing,USD,premium
130500.0,ames_housing,USD,standard
230000.0,ames_housing,USD,luxury
218500.0,ames_housing,USD,luxury
243500.0,ames_housing,USD,luxury
205000.0,ames_housing,USD,premium
212500.0,ames_housing,USD,premium
196500.0,ames_housing,USD,premium
197500.0,ames_housing,USD,premium
171000.0,ames_housing,USD,premium
142250.0,ames_housing,USD,standard
143000.0,ames_housing,USD,standard
128950.0,ames_housing,USD,budget
159000.0,ames_housing,USD,standard
178900.0,ames_housing,USD,premium
136300.0,ames_housing,USD,standard
180500.0,ames_housing,USD,premium
137500.0,ames_housing,USD,standard
84900.0,ames_housing,USD,budget
142125.0,ames_housing,USD,standard
197600.0,ames_housing,USD,premium
172500.0,ames_housing,USD,premium
116500.0,ames_housing,USD,budget
76500.0,ames_housing,USD,budget
128000.0,ames_housing,USD,budget
153000.0,ames_housing,USD,standard
132000.0,ames_housing,USD,standard
178000.0,ames_housing,USD,premium
154300.0,ames_housing,USD,standard
180000.0,ames_housing,USD,premium
190000.0,ames_housing,USD,premium
135000.0,ames_housing,USD,standard
214000.0,ames_housing,USD,luxury
136000.0,ames_housing,USD,standard
165500.0,ames_housing,USD,premium
145000.0,ames_housing,USD,standard
148000.0,ames_housing,USD,standard
142000.0,ames_housing,USD,standard
167500.0,ames_housing,USD,premium
108538.0,ames_housing,USD,budget
159500.0,ames_housing,USD,standard
108000.0,ames_housing,USD,budget
135000.0,ames_housing,USD,standard
122500.0,ames_housing,USD,budget
119000.0,ames_housing,USD,budget
109000.0,ames_housing,USD,budget
105000.0,ames_housing,USD,budget
107500.0,ames_housing,USD,budget
144900.0,ames_housing,USD,standard
129000.0,ames_housing,USD,budget
97500.0,ames_housing,USD,budget
144000.0,ames_housing,USD,standard
162000.0,ames_housing,USD,premium
242000.0,ames_housing,USD,luxury
132000.0,ames_housing,USD,standard
154000.0,ames_housing,USD,standard
166000.0,ames_housing,USD,premium
134800.0,ames_housing,USD,standard
160000.0,ames_housing,USD,standard
148000.0,ames_housing,USD,standard
192000.0,ames_housing,USD,premium
155000.0,ames_housing,USD,standard
80400.0,ames_housing,USD,budget
96500.0,ames_housing,USD,budget
109500.0,ames_housing,USD,budget
115000.0,ames_housing,USD,budget
143000.0,ames_housing,USD,standard
107400.0,ames_housing,USD,budget
80000.0,ames_housing,USD,budget
119000.0,ames_housing,USD,budget
130000.0,ames_housing,USD,standard
119000.0,ames_housing,USD,budget
129000.0,ames_housing,USD,budget
100000.0,ames_housing,USD,budget
12789.0,ames_housing,USD,budget
105900.0,ames_housing,USD,budget
150000.0,ames_housing,USD,standard
139000.0,ames_housing,USD,standard
240000.0,ames_housing,USD,luxury
76500.0,ames_housing,USD,budget
149700.0,ames_housing,USD,standard
125500.0,ames_housing,USD,budget
122500.0,ames_housing,USD,budget
140750.0,ames_housing,USD,standard
128500.0,ames_housing,USD,budget
209500.0,ames_housing,USD,premium
87000.0,ames_housing,USD,budget
134000.0,ames_housing,USD,standard
128000.0,ames_housing,USD,budget
132000.0,ames_housing,USD,standard
139900.0,ames_housing,USD,standard
123900.0,ames_housing,USD,budget
138400.0,ames_housing,USD,standard
109500.0,ames_housing,USD,budget
140000.0,ames_housing,USD,standard
149500.0,ames_housing,USD,standard
159900.0,ames_housing,USD,standard
122000.0,ames_housing,USD,budget
110000.0,ames_housing,USD,budget
55000.0,ames_housing,USD,budget
140000.0,ames_housing,USD,standard
244400.0,ames_housing,USD,luxury
173000.0,ames_housing,USD,premium
107500.0,ames_housing,USD,budget
100000.0,ames_housing,USD,budget
95000.0,ames_housing,USD,budget
93369.0,ames_housing,USD,budget
114900.0,ames_housing,USD,budget
94000.0,ames_housing,USD,budget
136000.0,ames_housing,USD,standard
136500.0,ames_housing,USD,standard
131500.0,ames_housing,USD,standard
121500.0,ames_housing,USD,budget
125000.0,ames_housing,USD,budget
154000.0,ames_housing,USD,standard
137900.0,ames_housing,USD,standard
158000.0,ames_housing,USD,standard
137250.0,ames_housing,USD,standard
160250.0,ames_housing,USD,premium
163000.0,ames_housing,USD,premium
158900.0,ames_housing,USD,standard
328000.0,ames_housing,USD,luxury
270000.0,ames_housing,USD,luxury
85000.0,ames_housing,USD,budget
128000.0,ames_housing,USD,budget
260000.0,ames_housing,USD,luxury
230000.0,ames_housing,USD,luxury
124000.0,ames_housing,USD,budget
83000.0,ames_housing,USD,budget
144500.0,ames_housing,USD,standard
129000.0,ames_housing,USD,budget
127000.0,ames_housing,USD,budget
128000.0,ames_housing,USD,budget
186000.0,ames_housing,USD,premium
308030.0,ames_housing,USD,luxury
114000.0,ames_housing,USD,budget
84900.0,ames_housing,USD,budget
178000.0,ames_housing,USD,premium
270000.0,ames_housing,USD,luxury
218000.0,ames_housing,USD,luxury
236000.0,ames_housing,USD,luxury
147000.0,ames_housing,USD,standard
245350.0,ames_housing,USD,luxury
206000.0,ames_housing,USD,premium
198900.0,ames_housing,USD,premium
187000.0,ames_housing,USD,premium
320000.0,ames_housing,USD,luxury
138500.0,ames_housing,USD,standard
